"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"COX17",647.794200780764,-0.116540458131992,0.120129945343239,-0.97011996300347,0.331986699410654,0.724297055465932
"COX17P1",8.36247432957029,-0.365816854881866,0.439464796490101,-0.832414468243093,0.405175038218219,NA
"COX18",31.9770690978772,0.300550714452499,0.19575542226624,1.53533787709712,0.124700854724893,NA
"COX19",213.859403256715,-0.115067045118738,0.114779930936737,-1.00250143191112,0.316101475327524,0.714644690977652
"COX20",442.952613282084,-0.242671790083868,0.123174940643175,-1.97013928983219,0.0488224090802343,0.350760996383815
"COX20P1",58.5565164132061,-0.464632408852389,0.189916698720848,-2.44650634716084,0.0144248257530758,NA
"COX20P2",2.59317966690157,-2.05948311108888,1.33390920812339,-1.54394549385131,0.122601537630322,NA
"COX4I1",3452.28027419308,0.0887477740375857,0.09347075727876,0.949471006990038,0.342381111085266,0.732523364954587
"COX5A",1772.33955889157,0.0535955363260005,0.0862322021773845,0.621525775437712,0.534253740703052,0.840415009280434
"COX5AP2",5.87523303402039,-1.25426941424836,0.689922869826285,-1.81798497934149,0.0690664285916334,NA
"COX5B",2646.67429975595,0.0422663777906302,0.0450576793938385,0.938050480167648,0.348218468619488,0.736341345584997
"COX5BP6",1.63415021781175,0.25149829121423,1.24260051786505,0.202396737807849,0.839606578483077,NA
"COX6A1",2254.02508626857,0.0819826125124754,0.0872929979041941,0.93916596383198,0.347645541043958,0.736017673248864
"COX6A1P2",40.7981020932442,0.146963255919452,0.188610978929152,0.779187175390548,0.435869463557822,NA
"COX6B1",2568.62444020603,-0.0175037263707231,0.0697269284468423,-0.251032517287311,0.801788968792974,0.943678185777107
"COX6B2",4.30768254562396,1.07336820565931,0.860354784545134,1.24758788460367,0.212182017539523,NA
"COX6C",4445.60653449865,-0.0917158549182801,0.102726766874919,-0.892813603585458,0.371957000100357,0.748570607578491
"COX6CP1",2.37233889707072,0.129079100771792,0.857383224403435,0.150550065709071,0.880330654078944,NA
"COX7A2",3569.60701196323,0.0240167810044998,0.0687221459979447,0.349476586560874,0.726731545294488,0.914121825073962
"COX7A2L",349.85323193211,0.2810531598045,0.114613163823904,2.45218917642235,0.0141989991091955,0.204023323265735
"COX7A2P2",4.09611886061253,-0.71149289340229,0.692487261749293,-1.02744546030347,0.30421075452409,NA
"COX7B",1908.22469230353,0.0498220350546338,0.0897862207521324,0.554896226138915,0.578965643348977,0.85665247237003
"COX7BP2",3.06989934046436,-0.0804132020722393,0.658525402883059,-0.122111010023586,0.902811102397542,NA
"COX7C",4847.47811628102,-0.0421391405464367,0.0719044902839826,-0.586043241249756,0.557846456870269,0.851462637260411
"COX7CP1",15.9896205410205,0.0655543280947994,0.306860307417538,0.213629219909505,0.830836211185559,NA
"COX8A",2477.72970887241,-0.100760197981651,0.0612605348357122,-1.64478155882688,0.100014866465477,0.468891363469299
"CP",2.39130127604658,0.612150596476703,1.4610029123475,0.418993412883152,0.675220946433287,NA
"CPA2",0.954150164135662,0.517605648766777,1.20357313510174,0.430057496026631,0.667153817534243,NA
"CPA4",5.39886217229897,0.382158513756323,0.613312584368946,0.623105612857327,0.533215121527845,NA
